Chris Bosh,358,767,81,222,213,268,390,128,36,34,78,1010,2016,6.4,20.2,101
Rashad Vaughn,81,266,43,147,12,15,88,39,29,16,28,217,2016,-0.8,4.2,73
Greivis Vasquez,45,138,18,73,22,26,47,91,10,0,40,130,2016,-0.3,7.4,42
Miles Plumlee,140,233,0,0,34,59,232,16,21,50,40,314,2016,2.2,17.4,73
Jabari Parker,443,899,9,35,175,228,395,130,69,29,116,1070,2016,3.6,14.8,154
Johnny O'Bryant,86,209,1,1,27,40,176,32,18,8,31,200,2016,0.3,7.4,100
Greg Monroe,491,941,0,1,228,308,696,178,72,67,129,1210,2016,7.5,21.8,163
Khris Middleton,507,1142,143,361,277,312,302,331,131,19,180,1434,2016,6.1,16.8,204
O.J. Mayo,119,321,52,162,31,40,105,118,48,8,72,321,2016,-0.1,7.7,126
Damien Inglis,13,37,3,13,7,8,31,10,6,3,11,36,2016,-0.1,6.7,11
John Henson,164,291,0,1,69,117,221,54,18,109,64,397,2016,2.3,18.6,131
Tyler Ennis,84,187,13,39,25,34,75,95,25,1,46,206,2016,0.4,10.7,64
Chris Copeland,17,51,10,36,6,7,10,11,2,0,6,50,2016,-0.1,5.4,17
Michael Carter-Williams,251,555,15,55,106,162,276,281,80,41,153,623,2016,1.2,13.9,162
Jerryd Bayless,185,437,101,231,70,90,141,163,47,11,73,541,2016,2.4,12.4,111
Giannis Antetokounmpo,513,1013,28,109,296,409,612,345,94,113,208,1350,2016,7.1,18.8,258
Andrew Wiggins,594,1294,57,190,430,565,293,164,78,46,182,1675,2016,4.1,16.5,165
Karl-Anthony Towns,625,1152,30,88,223,275,855,161,58,138,183,1503,2016,8.3,22.5,245
Greg Smith,18,32,0,0,7,17,42,6,4,1,7,43,2016,0.2,7.9,28
Damjan Rudez,25,62,17,50,8,8,20,11,3,1,13,75,2016,0.1,5.5,33
Ricky Rubio,219,586,62,190,266,314,326,658,162,10,193,766,2016,5.8,17.6,201
Tayshaun Prince,102,229,4,23,13,19,147,73,36,13,27,221,2016,0.4,6.3,62
Nikola Pekovic,19,50,0,0,16,20,21,11,1,0,9,54,2016,-0.1,6.5,22
Adreian Payne,53,146,9,32,17,26,112,29,16,11,36,132,2016,-0.5,5.6,77
Shabazz Muhammad,317,681,44,152,185,242,267,52,24,7,70,863,2016,2.7,15.2,94
Zach LaVine,433,959,123,316,161,203,228,251,69,17,155,1150,2016,2.6,14.3,193
Tyus Jones,56,156,16,53,28,39,47,108,31,3,33,156,2016,0.3,11.2,33
Kevin Garnett,54,115,0,1,14,21,150,62,28,10,16,122,2016,1.1,12.3,70
Gorgui Dieng,308,579,6,20,205,248,585,143,94,96,140,827,2016,5.9,17.1,219
Nemanja Bjelica,110,235,48,125,40,55,210,83,26,21,47,308,2016,1.9,11.2,154
Nate Robinson,0,1,0,1,0,0,0,4,1,0,0,0,2016,0,2.6,5
Kendrick Perkins,40,75,0,0,11,25,128,31,11,11,41,91,2016,-0.1,6,64
Jrue Holiday,410,935,87,259,182,216,195,391,88,22,167,1089,2016,3.4,19.7,148
