Charles Claxton,C,25,BOS,3
Junior Burrough,PF,23,BOS,61
Dee Brown,PG,27,BOS,65
Dana Barros,PG,28,BOS,80
George Zidek,C,22,CHH,71
Glen Rice,SF,28,CHH,79
Robert Parish*,C,42,CHH,74
Larry Johnson,PF,26,CHH,81
Darrin Hancock,SF,24,CHH,63
Anthony Goldwire,PG,24,CHH,42
Matt Geiger,C,26,CHH,77
Dell Curry,SG,31,CHH,82
Scott Burrell,SF,25,CHH,20
Muggsy Bogues,PG,31,CHH,6
Corey Beck,PG,24,CHH,5
Rafael Addison,SF,31,CHH,53
Michael Adams,PG,33,CHH,21
Bill Wennington,C,32,CHI,71
Dickey Simpkins,PF,23,CHI,60
Dennis Rodman*,PF,34,CHI,64
Scottie Pippen*,SF,30,CHI,77
Luc Longley,C,27,CHI,62
Toni Kukoc,SF,27,CHI,81
Steve Kerr,PG,30,CHI,82
Michael Jordan*,SG,32,CHI,82
Ron Harper,PG,32,CHI,80
Jack Haley,C,32,CHI,1
James Edwards,C,40,CHI,28
Jason Caffey,PF,22,CHI,57
Jud Buechler,SF,27,CHI,74
Randy Brown,PG,27,CHI,68
Bob Sura,SG,22,CLE,79
Bobby Phills,SG,26,CLE,72
Harold Miner,SG,24,CLE,19
Chris Mills,SF,26,CLE,80
Donny Marshall,SF,23,CLE,34
Dan Majerle,SF,30,CLE,82
Antonio Lang,SF,23,CLE,41
Darryl Johnson,PG,30,CLE,11
Tyrone Hill,PF,27,CLE,44
Danny Ferry,PF,29,CLE,82
John Crotty,PG,26,CLE,58
Joe Courtney,PF,26,CLE,23
Michael Cage,C,34,CLE,82
Terrell Brandon,PG,25,CLE,75
John Amaechi,PF,25,CLE,28
Lorenzo Williams,C,26,DAL,65
Cherokee Parks,C,23,DAL,64
Loren Meyer,C,23,DAL,72
George McCloud,SF,28,DAL,79
Jamal Mashburn,SF,23,DAL,18
Jason Kidd,PG,22,DAL,81
Popeye Jones,PF,25,DAL,68
Jim Jackson,SG,25,DAL,82
